Tm,W,L,W-L%,GB,RS,RA,pythW-L%
=TB,40,20,.667,--,289,229,.605
MIN,36,24,.600,4.0,269,215,.601
OAK,36,24,.600,4.0,274,232,.576
CHW,35,25,.583,5.0,306,246,.599
CLE,35,25,.583,5.0,248,209,.578
NYY,33,27,.550,7.0,315,270,.570
TOR,32,28,.533,8.0,302,312,.485
HOU,29,31,.483,11.0,279,275,.507
SEA,27,33,.450,13.0,254,303,.420
LAA,26,34,.433,14.0,294,321,.460
KCR,26,34,.433,14.0,248,272,.458
BAL,25,35,.417,15.0,274,294,.468
BOS,24,36,.400,16.0,292,351,.417
DET,23,35,.397,16.0,249,318,.390
TEX,22,38,.367,18.0,224,312,.353
LAD,43,17,.717,--,349,213,.712
=SD,37,23,.617,6.0,325,241,.633
ATL,35,25,.583,8.0,348,288,.586
CHC,34,26,.567,9.0,265,240,.545
MIA,31,29,.517,12.0,263,304,.434
STL,30,28,.517,12.0,240,229,.521
CIN,31,29,.517,12.0,243,243,.500
MIL,29,31,.483,14.0,247,264,.470
=SF,29,31,.483,14.0,299,297,.503
PHI,28,32,.467,15.0,306,311,.493
COL,26,34,.433,17.0,275,353,.388
NYM,26,34,.433,17.0,286,308,.466
WSN,26,34,.433,17.0,293,301,.488
ARI,25,35,.417,18.0,269,295,.458
PIT,19,41,.317,24.0,219,298,.363

