url,code,buy_below
https://www.amazon.com/DEWALT-DCW210B-Brushless-Orbital-Sander/dp/B07JQM7C28/ref=sr_1_6?dchild=1&keywords=random+orbital+sander&qid=1603392393&sr=8-6,DeWalt-20v-OrbitalSander,80
https://www.amazon.com/Makita-XSH03Z-Lithium-Ion-Brushless-Cordless/dp/B00TV27N62/ref=sr_1_20?crid=3PMMF62LG1XGA&dchild=1&keywords=makita&qid=1603393766&sprefix=makita%2Caps%2C240&sr=8-20,"Makita-18V-LXT-Lithium-Ion6-1/2""-Circular Saw",120
https://www.amazon.com/Yost-Vises-445-Utility-Combination/dp/B009ACC7GY?pd_rd_w=4G9Et&pf_rd_p=21b0f1e9-721e-43b5-bb7a-5616fc4f0fe1&pf_rd_r=EJD8YD76XVXTRB2J9516&pd_rd_r=5be936bf-bb41-4c5a-9f3b-2b582f34d013&pd_rd_wg=83WYq,"Yost Tools Vises 445 4.5"" Heavy-Duty Utility Combination Pipe and Bench Vise",45
https://www.amazon.com/KastKing-Fishing-Spinning-Graphite-SuperPolymer/dp/B07PY81BP6?ref_=Oct_s9_apbd_orecs_hd_bw_bEJ2d&pf_rd_r=YDG8E4ZVBNQNK21SM48P&pf_rd_p=450ea72a-5622-5e94-90ae-2a55df3dc6a8&pf_rd_s=merchandised-search-10&pf_rd_t=BROWSE&pf_rd_i=3409791,KastKing Crixus Fishing Rod and Reel Combo6fML,45
https://www.amazon.com/AMD-Ryzen-3900XT-24-Threads-Processor/dp/B089WD454D/ref=sr_1_1?dchild=1&keywords=ryzen&qid=1603503945&refinements=p_n_feature_four_browse-bin%3A21354490011&rnid=676578011&s=pc&sr=1-1&th=1,AMD Ryzen93900XT12-core24-ThreadsUnlockedDesktopProcessor,350
https://www.amazon.com/GIGABYTE-X570-AORUS-PCIe4-0-Motherboard/dp/B07SVRZGMX/ref=sr_1_8?dchild=1&keywords=ryzen&qid=1603512284&sr=8-8,Gigabyte X570 AORUS Elite,150
https://www.amazon.com/CanaKit-Raspberry-8GB-Basic-Starter/dp/B0897XZDF2/ref=sr_1_5?crid=1F2R0ZNM5FTML&dchild=1&keywords=raspberry+pi+4&qid=1603512580&sprefix=RASPBERRY+%2Caps%2C236&sr=8-5,CanaKit Raspberry Pi 4 8GB Basic Starter Kit with Fan (8GB RAM),80
https://www.amazon.com/gp/product/B007NVSSFS/ref=ox_sc_saved_title_1?smid=A1MXFBSEZT410T&psc=1,DEWALT 20V Max Jig Saw,120
https://www.amazon.com/DEWALT-DCW600B-Compact-Router-Tool/dp/B07KSRTDML/ref=pd_sim_469_5/132-4792346-4795225?_encoding=UTF8&pd_rd_i=B07KSRTDML&pd_rd_r=bb115c9a-7307-4387-b28e-02ff0fe94b92&pd_rd_w=m9ybS&pd_rd_wg=lGRJS&pf_rd_p=d338b989-51db-4d99-9bd8-988f67d205eb&pf_rd_r=GD4RF23A5JSVAPCVKHE9&psc=1&refRID=GD4RF23A5JSVAPCVKHE9,DEWALT 20V Max XR Cordless Router Brushless,90
https://www.amazon.com/BenQ-EL2870U-Anti-glare-Brightness-Intelligence/dp/B078HWN5CX/ref=sr_1_4?crid=FXOEEZM4T7MS&dchild=1&keywords=4k+gaming+monitor+144hz+1ms&qid=1603525248&sprefix=4k+gaming%2Caps%2C232&sr=8-4,BenQ EL2870U 28 inch 4K Monitor for Gaming,240
https://www.amazon.com/Igloo-BMX-Quart-Cooler-Carbonite/dp/B0815YWFLR/ref=sr_1_4?dchild=1&keywords=cooler&qid=1603585105&sr=8-4&th=1,Igloo BMX Family with Cool Riser Technology,70
